reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-b2018-gdn-128-1.png,"(512, 768, 3)",1152,7,164.57142857142858,24.333472579484408,0.7615228
kodim01.png,kodim01-b2018-gdn-128-2.png,"(512, 768, 3)",1152,22,52.36363636363637,27.238902128933127,0.8718054
kodim01.png,kodim01-b2018-gdn-128-3.png,"(512, 768, 3)",1152,52,22.153846153846153,30.643068478760895,0.94360256
kodim01.png,kodim01-b2018-gdn-128-4.png,"(512, 768, 3)",1152,78,14.76923076923077,32.14064642770871,0.96128124
kodim02.png,kodim02-b2018-gdn-128-1.png,"(512, 768, 3)",1152,4,288.0,28.635387087052987,0.9744978
kodim02.png,kodim02-b2018-gdn-128-2.png,"(512, 768, 3)",1152,11,104.72727272727273,30.995468097413372,0.98582023
kodim02.png,kodim02-b2018-gdn-128-3.png,"(512, 768, 3)",1152,27,42.666666666666664,33.99009322900166,0.99296093
kodim02.png,kodim02-b2018-gdn-128-4.png,"(512, 768, 3)",1152,52,22.153846153846153,36.29274511196021,0.99571013
kodim03.png,kodim03-b2018-gdn-128-1.png,"(512, 768, 3)",1152,4,288.0,29.50933306888311,0.92437863
kodim03.png,kodim03-b2018-gdn-128-2.png,"(512, 768, 3)",1152,9,128.0,32.555726266151304,0.96225464
kodim03.png,kodim03-b2018-gdn-128-3.png,"(512, 768, 3)",1152,22,52.36363636363637,36.04399949499297,0.98171043
kodim03.png,kodim03-b2018-gdn-128-4.png,"(512, 768, 3)",1152,40,28.8,38.138121210058216,0.9887282
kodim04.png,kodim04-b2018-gdn-128-1.png,"(768, 512, 3)",1152,4,288.0,28.272980352851278,0.9458192
kodim04.png,kodim04-b2018-gdn-128-2.png,"(768, 512, 3)",1152,11,104.72727272727273,31.140588030264894,0.96962315
kodim04.png,kodim04-b2018-gdn-128-3.png,"(768, 512, 3)",1152,28,41.142857142857146,34.348604428135275,0.98386407
kodim04.png,kodim04-b2018-gdn-128-4.png,"(768, 512, 3)",1152,51,22.58823529411765,36.39707514513171,0.99034333
kodim05.png,kodim05-b2018-gdn-128-1.png,"(512, 768, 3)",1152,9,128.0,23.218734626467054,0.75266635
kodim05.png,kodim05-b2018-gdn-128-2.png,"(512, 768, 3)",1152,25,46.08,26.80679390836074,0.8866248
kodim05.png,kodim05-b2018-gdn-128-3.png,"(512, 768, 3)",1152,53,21.735849056603772,30.78556864311182,0.9551728
kodim05.png,kodim05-b2018-gdn-128-4.png,"(512, 768, 3)",1152,80,14.4,32.46887257128633,0.9722001
kodim06.png,kodim06-b2018-gdn-128-1.png,"(512, 768, 3)",1152,6,192.0,25.008919663474654,0.81140447
kodim06.png,kodim06-b2018-gdn-128-2.png,"(512, 768, 3)",1152,17,67.76470588235294,28.07535736151879,0.895394
kodim06.png,kodim06-b2018-gdn-128-3.png,"(512, 768, 3)",1152,40,28.8,31.58804479661319,0.9534683
kodim06.png,kodim06-b2018-gdn-128-4.png,"(512, 768, 3)",1152,65,17.723076923076924,33.16292959203291,0.9708729
kodim07.png,kodim07-b2018-gdn-128-1.png,"(512, 768, 3)",1152,5,230.4,28.12114385869335,0.91034466
kodim07.png,kodim07-b2018-gdn-128-2.png,"(512, 768, 3)",1152,13,88.61538461538461,31.757909934487248,0.96334976
kodim07.png,kodim07-b2018-gdn-128-3.png,"(512, 768, 3)",1152,27,42.666666666666664,35.66863638578792,0.9840053
kodim07.png,kodim07-b2018-gdn-128-4.png,"(512, 768, 3)",1152,46,25.043478260869566,38.033181232083074,0.9904089
kodim08.png,kodim08-b2018-gdn-128-1.png,"(512, 768, 3)",1152,10,115.2,22.20981810236047,0.7364322
kodim08.png,kodim08-b2018-gdn-128-2.png,"(512, 768, 3)",1152,26,44.30769230769231,25.834991311612473,0.8684878
kodim08.png,kodim08-b2018-gdn-128-3.png,"(512, 768, 3)",1152,54,21.333333333333332,29.22111096029365,0.93888104
kodim08.png,kodim08-b2018-gdn-128-4.png,"(512, 768, 3)",1152,81,14.222222222222221,30.48987852928528,0.9585244
