reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,7,164.57142857142858,24.18587932428997,0.7520393
kodim01.png,kodim01-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,21,54.857142857142854,27.034156379681168,0.8674818
kodim01.png,kodim01-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,53,21.735849056603772,30.83879267428792,0.9455577
kodim01.png,kodim01-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,99,11.636363636363637,34.72353080148784,0.97828716
kodim02.png,kodim02-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,28.300401329260758,0.97297966
kodim02.png,kodim02-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,10,115.2,30.960229781960354,0.98573864
kodim02.png,kodim02-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,26,44.30769230769231,33.850029803026956,0.9925096
kodim02.png,kodim02-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,57,20.210526315789473,37.24798236467523,0.99656475
kodim03.png,kodim03-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,29.3476698289533,0.9196918
kodim03.png,kodim03-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,9,128.0,32.30631348498157,0.9600709
kodim03.png,kodim03-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,22,52.36363636363637,35.841390695819065,0.97966313
kodim03.png,kodim03-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,44,26.181818181818183,39.28914731093325,0.9896491
kodim04.png,kodim04-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,4,288.0,28.13057167659614,0.94410145
kodim04.png,kodim04-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,11,104.72727272727273,31.00196838257971,0.9680699
kodim04.png,kodim04-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,27,42.666666666666664,34.11573021961168,0.9823411
kodim04.png,kodim04-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,57,20.210526315789473,37.536346656457795,0.9913657
kodim05.png,kodim05-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,8,144.0,23.05702417300443,0.74634516
kodim05.png,kodim05-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,24,48.0,26.6667867692024,0.8830091
kodim05.png,kodim05-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,56,20.571428571428573,30.764432930691655,0.9523213
kodim05.png,kodim05-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,99,11.636363636363637,34.47795998100246,0.980166
kodim06.png,kodim06-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,5,230.4,24.946543914742172,0.8084639
kodim06.png,kodim06-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,16,72.0,27.89898948938468,0.89318585
kodim06.png,kodim06-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,41,28.097560975609756,31.786382019079294,0.9531032
kodim06.png,kodim06-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,78,14.76923076923077,35.7559351038671,0.9815284
kodim07.png,kodim07-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,5,230.4,27.856924250787625,0.9029823
kodim07.png,kodim07-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,12,96.0,31.490056130096082,0.96018386
kodim07.png,kodim07-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,27,42.666666666666664,35.2650423444584,0.98143506
kodim07.png,kodim07-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,51,22.58823529411765,38.88319389674157,0.99078494
kodim08.png,kodim08-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,10,115.2,22.141383820130297,0.732477
kodim08.png,kodim08-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,26,44.30769230769231,25.740577681244062,0.8668385
kodim08.png,kodim08-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,59,19.52542372881356,29.72378951400013,0.9410391
kodim08.png,kodim08-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,107,10.766355140186915,33.65673806599501,0.9752693
kodim09.png,kodim09-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,4,288.0,28.657463592050867,0.79967326
kodim09.png,kodim09-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,10,115.2,32.05569136141479,0.90660435
kodim09.png,kodim09-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,23,50.08695652173913,35.41555219948364,0.9449211
kodim09.png,kodim09-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,46,25.043478260869566,38.600601450273416,0.9659463
kodim10.png,kodim10-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,4,288.0,28.02391538156963,0.8070995
kodim10.png,kodim10-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,11,104.72727272727273,31.474480330140743,0.90558404
kodim10.png,kodim10-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,24,48.0,35.04701024472243,0.9475095
kodim10.png,kodim10-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,49,23.510204081632654,38.33792032496056,0.9725026
kodim11.png,kodim11-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,5,230.4,26.10525257039018,0.81479484
kodim11.png,kodim11-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,14,82.28571428571429,28.947089974569526,0.8947871
kodim11.png,kodim11-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,35,32.91428571428571,32.36631615163165,0.9481825
kodim11.png,kodim11-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,71,16.225352112676056,36.06127462155605,0.97706807
kodim12.png,kodim12-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,29.16783560474926,0.9122805
kodim12.png,kodim12-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,10,115.2,31.927383118830992,0.94968003
kodim12.png,kodim12-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,23,50.08695652173913,35.17047411374549,0.9732139
kodim12.png,kodim12-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,49,23.510204081632654,38.78180181511389,0.98816556
kodim13.png,kodim13-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,8,144.0,21.422090083041567,0.70701385
kodim13.png,kodim13-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,26,44.30769230769231,24.12280408334054,0.83661246
kodim13.png,kodim13-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,70,16.457142857142856,27.853610537228487,0.9297292
kodim13.png,kodim13-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,127,9.070866141732283,31.300490237730692,0.96966225
kodim14.png,kodim14-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,6,192.0,24.827885502942387,0.75608164
kodim14.png,kodim14-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,17,67.76470588235294,27.883978627076583,0.8595068
kodim14.png,kodim14-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,44,26.181818181818183,31.506737479224412,0.93386376
kodim14.png,kodim14-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,86,13.395348837209303,35.19836666547459,0.9735846
kodim15.png,kodim15-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,27.832094764116405,0.88135666
kodim15.png,kodim15-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,11,104.72727272727273,30.822779219437273,0.9397105
kodim15.png,kodim15-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,26,44.30769230769231,33.87436183856282,0.966849
kodim15.png,kodim15-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,55,20.945454545454545,37.05869802314662,0.98364884
kodim16.png,kodim16-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,3,384.0,27.505327456007414,0.74054486
kodim16.png,kodim16-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,10,115.2,30.329883746801766,0.8580055
kodim16.png,kodim16-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,28,41.142857142857146,33.96511230877509,0.93289524
kodim16.png,kodim16-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,58,19.862068965517242,38.011655872359256,0.97330165
kodim17.png,kodim17-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,4,288.0,27.991420061503312,0.82240427
kodim17.png,kodim17-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,11,104.72727272727273,30.945146957064868,0.8962954
kodim17.png,kodim17-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,25,46.08,34.29214803825617,0.94074535
kodim17.png,kodim17-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,52,22.153846153846153,37.5697532815747,0.9684376
kodim18.png,kodim18-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,6,192.0,24.54663216456516,0.7882005
kodim18.png,kodim18-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,17,67.76470588235294,27.257123894846217,0.87494093
kodim18.png,kodim18-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,44,26.181818181818183,30.732919324380706,0.92964107
kodim18.png,kodim18-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,84,13.714285714285714,33.88169072775065,0.9627664
kodim19.png,kodim19-b2018-leaky_relu-192-1.png,"(768, 512, 3)",1152,5,230.4,26.30365568137335,0.8673485
kodim19.png,kodim19-b2018-leaky_relu-192-2.png,"(768, 512, 3)",1152,13,88.61538461538461,29.53697023314872,0.9179108
kodim19.png,kodim19-b2018-leaky_relu-192-3.png,"(768, 512, 3)",1152,33,34.90909090909091,33.16053358171696,0.9545062
kodim19.png,kodim19-b2018-leaky_relu-192-4.png,"(768, 512, 3)",1152,66,17.454545454545453,36.76415218161407,0.97479844
kodim20.png,kodim20-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,28.285999527491008,0.8984702
kodim20.png,kodim20-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,10,115.2,31.279327426271465,0.9439137
kodim20.png,kodim20-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,25,46.08,34.58142669580488,0.967069
kodim20.png,kodim20-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,52,22.153846153846153,37.85153018551868,0.9816048
kodim21.png,kodim21-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,5,230.4,25.439530471346707,0.8170241
kodim21.png,kodim21-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,15,76.8,28.63491074504268,0.90509194
kodim21.png,kodim21-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,37,31.135135135135137,32.31560701703826,0.9539121
kodim21.png,kodim21-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,70,16.457142857142856,35.90858185546771,0.97832966
kodim22.png,kodim22-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,26.636159376207445,0.85123664
kodim22.png,kodim22-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,13,88.61538461538461,29.275378733485944,0.9129537
kodim22.png,kodim22-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,34,33.88235294117647,32.46681462327179,0.95289963
kodim22.png,kodim22-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,69,16.695652173913043,35.85437093008237,0.97560287
kodim23.png,kodim23-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,4,288.0,29.454328715452785,0.9428561
kodim23.png,kodim23-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,9,128.0,33.049086370324176,0.9713989
kodim23.png,kodim23-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,20,57.6,36.20667575119303,0.9836698
kodim23.png,kodim23-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,40,28.8,39.074528999292454,0.9902543
kodim24.png,kodim24-b2018-leaky_relu-192-1.png,"(512, 768, 3)",1152,6,192.0,23.73240085214735,0.7543532
kodim24.png,kodim24-b2018-leaky_relu-192-2.png,"(512, 768, 3)",1152,18,64.0,26.653327748101745,0.86429775
kodim24.png,kodim24-b2018-leaky_relu-192-3.png,"(512, 768, 3)",1152,45,25.6,30.2701470479131,0.9361451
kodim24.png,kodim24-b2018-leaky_relu-192-4.png,"(512, 768, 3)",1152,84,13.714285714285714,33.449476996628555,0.97122777
