reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-bmshj2018-factorized-mse-1.png,"(512, 768, 3)",1152,7,164.57142857142858,24.573732620709347,0.7748007
kodim01.png,kodim01-bmshj2018-factorized-mse-2.png,"(512, 768, 3)",1152,12,96.0,25.843178407148294,0.82352895
kodim01.png,kodim01-bmshj2018-factorized-mse-3.png,"(512, 768, 3)",1152,22,52.36363636363637,27.494841970670496,0.87741446
kodim01.png,kodim01-bmshj2018-factorized-mse-4.png,"(512, 768, 3)",1152,35,32.91428571428571,29.302997110892896,0.919296
kodim01.png,kodim01-bmshj2018-factorized-mse-5.png,"(512, 768, 3)",1152,53,21.735849056603772,31.49231270381065,0.95219314
kodim01.png,kodim01-bmshj2018-factorized-mse-6.png,"(512, 768, 3)",1152,77,14.96103896103896,33.9712261473262,0.9729459
kodim01.png,kodim01-bmshj2018-factorized-mse-7.png,"(512, 768, 3)",1152,105,10.971428571428572,36.618053376389085,0.9852826
kodim01.png,kodim01-bmshj2018-factorized-mse-8.png,"(512, 768, 3)",1152,136,8.470588235294118,39.129191027748035,0.9918687
kodim02.png,kodim02-bmshj2018-factorized-mse-1.png,"(512, 768, 3)",1152,4,288.0,28.587125124010576,0.97565526
kodim02.png,kodim02-bmshj2018-factorized-mse-2.png,"(512, 768, 3)",1152,7,164.57142857142858,30.026362776636827,0.9820777
kodim02.png,kodim02-bmshj2018-factorized-mse-3.png,"(512, 768, 3)",1152,11,104.72727272727273,31.24309724576234,0.9864289
kodim02.png,kodim02-bmshj2018-factorized-mse-4.png,"(512, 768, 3)",1152,17,67.76470588235294,32.68693258277199,0.990254
kodim02.png,kodim02-bmshj2018-factorized-mse-5.png,"(512, 768, 3)",1152,26,44.30769230769231,34.25315399278271,0.993216
kodim02.png,kodim02-bmshj2018-factorized-mse-6.png,"(512, 768, 3)",1152,39,29.53846153846154,36.13353550332619,0.9955928
kodim02.png,kodim02-bmshj2018-factorized-mse-7.png,"(512, 768, 3)",1152,58,19.862068965517242,38.231881931842906,0.99723923
kodim02.png,kodim02-bmshj2018-factorized-mse-8.png,"(512, 768, 3)",1152,82,14.048780487804878,40.4361829768159,0.9983237
kodim03.png,kodim03-bmshj2018-factorized-mse-1.png,"(512, 768, 3)",1152,4,288.0,29.844576212737223,0.92477566
kodim03.png,kodim03-bmshj2018-factorized-mse-2.png,"(512, 768, 3)",1152,6,192.0,31.23580111840112,0.9472437
kodim03.png,kodim03-bmshj2018-factorized-mse-3.png,"(512, 768, 3)",1152,9,128.0,32.95550712871282,0.9639649
kodim03.png,kodim03-bmshj2018-factorized-mse-4.png,"(512, 768, 3)",1152,14,82.28571428571429,34.62591122727683,0.97449327
kodim03.png,kodim03-bmshj2018-factorized-mse-5.png,"(512, 768, 3)",1152,21,54.857142857142854,36.447702307251014,0.98153603
kodim03.png,kodim03-bmshj2018-factorized-mse-6.png,"(512, 768, 3)",1152,30,38.4,38.299983427633066,0.98645526
kodim03.png,kodim03-bmshj2018-factorized-mse-7.png,"(512, 768, 3)",1152,42,27.428571428571427,40.366775466532694,0.9906627
kodim03.png,kodim03-bmshj2018-factorized-mse-8.png,"(512, 768, 3)",1152,58,19.862068965517242,42.14432358024655,0.9928662
kodim04.png,kodim04-bmshj2018-factorized-mse-1.png,"(768, 512, 3)",1152,4,288.0,28.484376888237044,0.9481519
kodim04.png,kodim04-bmshj2018-factorized-mse-2.png,"(768, 512, 3)",1152,7,164.57142857142858,29.892111009261207,0.96024334
kodim04.png,kodim04-bmshj2018-factorized-mse-3.png,"(768, 512, 3)",1152,11,104.72727272727273,31.403933283489728,0.97070855
kodim04.png,kodim04-bmshj2018-factorized-mse-4.png,"(768, 512, 3)",1152,17,67.76470588235294,32.897756545342205,0.9778433
kodim04.png,kodim04-bmshj2018-factorized-mse-5.png,"(768, 512, 3)",1152,26,44.30769230769231,34.61338528097177,0.98375076
kodim04.png,kodim04-bmshj2018-factorized-mse-6.png,"(768, 512, 3)",1152,39,29.53846153846154,36.41010559009821,0.9882499
kodim04.png,kodim04-bmshj2018-factorized-mse-7.png,"(768, 512, 3)",1152,56,20.571428571428573,38.447966095994765,0.9919617
kodim04.png,kodim04-bmshj2018-factorized-mse-8.png,"(768, 512, 3)",1152,79,14.582278481012658,40.49531687622006,0.9947296
kodim05.png,kodim05-bmshj2018-factorized-mse-1.png,"(512, 768, 3)",1152,9,128.0,23.670434692651327,0.7718285
kodim05.png,kodim05-bmshj2018-factorized-mse-2.png,"(512, 768, 3)",1152,15,76.8,25.461253294049392,0.8408106
kodim05.png,kodim05-bmshj2018-factorized-mse-3.png,"(512, 768, 3)",1152,24,48.0,27.52258674491182,0.89821106
