reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-bmshj2018-factorized-msssim-1.png,"(512, 768, 3)",1152,5,230.4,22.295129260876976,0.6945279
kodim01.png,kodim01-bmshj2018-factorized-msssim-2.png,"(512, 768, 3)",1152,9,128.0,23.193601248637442,0.771079
kodim01.png,kodim01-bmshj2018-factorized-msssim-3.png,"(512, 768, 3)",1152,16,72.0,25.10850121121548,0.8336989
kodim01.png,kodim01-bmshj2018-factorized-msssim-4.png,"(512, 768, 3)",1152,27,42.666666666666664,26.339440483394863,0.88388085
kodim01.png,kodim01-bmshj2018-factorized-msssim-5.png,"(512, 768, 3)",1152,40,28.8,28.020120381038357,0.92031956
kodim01.png,kodim01-bmshj2018-factorized-msssim-6.png,"(512, 768, 3)",1152,60,19.2,29.644671003606877,0.94966835
kodim01.png,kodim01-bmshj2018-factorized-msssim-7.png,"(512, 768, 3)",1152,86,13.395348837209303,31.64486389802366,0.96877545
kodim01.png,kodim01-bmshj2018-factorized-msssim-8.png,"(512, 768, 3)",1152,121,9.520661157024794,33.42841028478232,0.9820599
kodim02.png,kodim02-bmshj2018-factorized-msssim-1.png,"(512, 768, 3)",1152,4,288.0,24.915508963940507,0.94405586
kodim02.png,kodim02-bmshj2018-factorized-msssim-2.png,"(512, 768, 3)",1152,7,164.57142857142858,27.640475141155157,0.9683564
kodim02.png,kodim02-bmshj2018-factorized-msssim-3.png,"(512, 768, 3)",1152,12,96.0,29.06534036135359,0.9758343
kodim02.png,kodim02-bmshj2018-factorized-msssim-4.png,"(512, 768, 3)",1152,21,54.857142857142854,29.934415016571837,0.9807336
kodim02.png,kodim02-bmshj2018-factorized-msssim-5.png,"(512, 768, 3)",1152,32,36.0,30.802053810706212,0.98440444
kodim02.png,kodim02-bmshj2018-factorized-msssim-6.png,"(512, 768, 3)",1152,50,23.04,32.217003304070076,0.9884315
kodim02.png,kodim02-bmshj2018-factorized-msssim-7.png,"(512, 768, 3)",1152,73,15.780821917808218,33.40500623327523,0.9911593
kodim02.png,kodim02-bmshj2018-factorized-msssim-8.png,"(512, 768, 3)",1152,106,10.867924528301886,34.217499399138084,0.99249077
kodim03.png,kodim03-bmshj2018-factorized-msssim-1.png,"(512, 768, 3)",1152,3,384.0,27.464196405944932,0.8528041
kodim03.png,kodim03-bmshj2018-factorized-msssim-2.png,"(512, 768, 3)",1152,5,230.4,29.12214923842494,0.922872
kodim03.png,kodim03-bmshj2018-factorized-msssim-3.png,"(512, 768, 3)",1152,9,128.0,30.49614579005744,0.9442693
kodim03.png,kodim03-bmshj2018-factorized-msssim-4.png,"(512, 768, 3)",1152,15,76.8,31.64877523021602,0.9661943
kodim03.png,kodim03-bmshj2018-factorized-msssim-5.png,"(512, 768, 3)",1152,23,50.08695652173913,32.602441774519505,0.9749366
kodim03.png,kodim03-bmshj2018-factorized-msssim-6.png,"(512, 768, 3)",1152,35,32.91428571428571,34.0256496531803,0.9811588
kodim03.png,kodim03-bmshj2018-factorized-msssim-7.png,"(512, 768, 3)",1152,51,22.58823529411765,34.67079712789398,0.9852619
kodim03.png,kodim03-bmshj2018-factorized-msssim-8.png,"(512, 768, 3)",1152,76,15.157894736842104,35.58928632987781,0.9881026
kodim04.png,kodim04-bmshj2018-factorized-msssim-1.png,"(768, 512, 3)",1152,3,384.0,25.768131142500014,0.8925969
kodim04.png,kodim04-bmshj2018-factorized-msssim-2.png,"(768, 512, 3)",1152,6,192.0,27.25792032156312,0.9311912
