reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-bmshj2018-hyperprior-mse-1.png,"(512, 768, 3)",1152,8,144.0,24.915805442012942,0.77674574
kodim01.png,kodim01-bmshj2018-hyperprior-mse-2.png,"(512, 768, 3)",1152,15,76.8,26.637877015726286,0.8509896
kodim01.png,kodim01-bmshj2018-hyperprior-mse-3.png,"(512, 768, 3)",1152,24,48.0,28.62295976688135,0.9018687
kodim01.png,kodim01-bmshj2018-hyperprior-mse-4.png,"(512, 768, 3)",1152,38,30.31578947368421,30.887078506523995,0.9434347
kodim01.png,kodim01-bmshj2018-hyperprior-mse-5.png,"(512, 768, 3)",1152,54,21.333333333333332,33.00865938636374,0.9662237
kodim01.png,kodim01-bmshj2018-hyperprior-mse-6.png,"(512, 768, 3)",1152,76,15.157894736842104,35.768594255291234,0.9816411
kodim01.png,kodim01-bmshj2018-hyperprior-mse-7.png,"(512, 768, 3)",1152,99,11.636363636363637,38.23977033942559,0.9897945
kodim01.png,kodim01-bmshj2018-hyperprior-mse-8.png,"(512, 768, 3)",1152,124,9.290322580645162,40.62534918385091,0.99408126
kodim02.png,kodim02-bmshj2018-hyperprior-mse-1.png,"(512, 768, 3)",1152,4,288.0,28.50752233323613,0.97455907
kodim02.png,kodim02-bmshj2018-hyperprior-mse-2.png,"(512, 768, 3)",1152,6,192.0,29.855215157094857,0.98230934
kodim02.png,kodim02-bmshj2018-hyperprior-mse-3.png,"(512, 768, 3)",1152,9,128.0,31.270513734263897,0.98689336
kodim02.png,kodim02-bmshj2018-hyperprior-mse-4.png,"(512, 768, 3)",1152,15,76.8,32.8174014167123,0.9909293
kodim02.png,kodim02-bmshj2018-hyperprior-mse-5.png,"(512, 768, 3)",1152,23,50.08695652173913,34.63515092525961,0.9939582
kodim02.png,kodim02-bmshj2018-hyperprior-mse-6.png,"(512, 768, 3)",1152,34,33.88235294117647,36.35700609926397,0.9959328
kodim02.png,kodim02-bmshj2018-hyperprior-mse-7.png,"(512, 768, 3)",1152,51,22.58823529411765,38.38424265675851,0.9974079
kodim02.png,kodim02-bmshj2018-hyperprior-mse-8.png,"(512, 768, 3)",1152,74,15.567567567567568,40.71880037867108,0.9983943
kodim03.png,kodim03-bmshj2018-hyperprior-mse-1.png,"(512, 768, 3)",1152,3,384.0,29.48016420139229,0.9114064
kodim03.png,kodim03-bmshj2018-hyperprior-mse-2.png,"(512, 768, 3)",1152,5,230.4,31.378698141193336,0.9419439
kodim03.png,kodim03-bmshj2018-hyperprior-mse-3.png,"(512, 768, 3)",1152,8,144.0,33.275083556246585,0.96478814
kodim03.png,kodim03-bmshj2018-hyperprior-mse-4.png,"(512, 768, 3)",1152,12,96.0,35.20886749976622,0.97543263
kodim03.png,kodim03-bmshj2018-hyperprior-mse-5.png,"(512, 768, 3)",1152,18,64.0,37.09699474270167,0.9823832
kodim03.png,kodim03-bmshj2018-hyperprior-mse-6.png,"(512, 768, 3)",1152,24,48.0,38.9822037016429,0.98692864
kodim03.png,kodim03-bmshj2018-hyperprior-mse-7.png,"(512, 768, 3)",1152,34,33.88235294117647,40.6018195554869,0.98970443
kodim03.png,kodim03-bmshj2018-hyperprior-mse-8.png,"(512, 768, 3)",1152,46,25.043478260869566,42.41218375537276,0.99250674
kodim04.png,kodim04-bmshj2018-hyperprior-mse-1.png,"(768, 512, 3)",1152,4,288.0,28.506161284039834,0.9448416
kodim04.png,kodim04-bmshj2018-hyperprior-mse-2.png,"(768, 512, 3)",1152,6,192.0,30.042186655654533,0.9568698
kodim04.png,kodim04-bmshj2018-hyperprior-mse-3.png,"(768, 512, 3)",1152,10,115.2,31.72027938158559,0.9710124
kodim04.png,kodim04-bmshj2018-hyperprior-mse-4.png,"(768, 512, 3)",1152,15,76.8,33.29453419116534,0.9783162
kodim04.png,kodim04-bmshj2018-hyperprior-mse-5.png,"(768, 512, 3)",1152,23,50.08695652173913,35.15059854610459,0.98476094
kodim04.png,kodim04-bmshj2018-hyperprior-mse-6.png,"(768, 512, 3)",1152,34,33.88235294117647,36.917662576888134,0.988659
kodim04.png,kodim04-bmshj2018-hyperprior-mse-7.png,"(768, 512, 3)",1152,49,23.510204081632654,38.872311533592864,0.99192977
kodim04.png,kodim04-bmshj2018-hyperprior-mse-8.png,"(768, 512, 3)",1152,70,16.457142857142856,40.99667686542724,0.99476826
kodim05.png,kodim05-bmshj2018-hyperprior-mse-1.png,"(512, 768, 3)",1152,11,104.72727272727273,24.902491803362285,0.8090509
kodim05.png,kodim05-bmshj2018-hyperprior-mse-2.png,"(512, 768, 3)",1152,18,64.0,26.93521566959796,0.8741549
kodim05.png,kodim05-bmshj2018-hyperprior-mse-3.png,"(512, 768, 3)",1152,27,42.666666666666664,28.99318798762565,0.919919
