reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-1.png,"(512, 768, 3)",1152,6,192.0,22.818296608754913,0.69693047
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-2.png,"(512, 768, 3)",1152,11,104.72727272727273,23.73936246683165,0.7920214
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-3.png,"(512, 768, 3)",1152,19,60.63157894736842,25.644744893934778,0.8635538
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-4.png,"(512, 768, 3)",1152,26,44.30769230769231,26.383745006964432,0.890048
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-5.png,"(512, 768, 3)",1152,47,24.51063829787234,29.278328210003615,0.94572204
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-6.png,"(512, 768, 3)",1152,66,17.454545454545453,30.51390436119454,0.9643281
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-7.png,"(512, 768, 3)",1152,90,12.8,32.56749973179441,0.97789806
kodim01.png,kodim01-bmshj2018-hyperprior-msssim-8.png,"(512, 768, 3)",1152,117,9.846153846153847,34.303910803486126,0.9853377
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-1.png,"(512, 768, 3)",1152,4,288.0,27.082184756860876,0.9631194
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-2.png,"(512, 768, 3)",1152,8,144.0,27.740219352230437,0.96947503
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-3.png,"(512, 768, 3)",1152,13,88.61538461538461,29.117993614861945,0.9766938
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-4.png,"(512, 768, 3)",1152,20,57.6,30.06373668104327,0.9811606
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-5.png,"(512, 768, 3)",1152,35,32.91428571428571,31.631566357014684,0.98658425
kodim02.png,kodim02-bmshj2018-hyperprior-msssim-6.png,"(512, 768, 3)",1152,53,21.735849056603772,32.77199604429669,0.9901003
