reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-hific-hi.png,"(512, 768, 3)",1152,35,32.91428571428571,28.652544133858036,0.9170118
kodim01.png,kodim01-hific-lo.png,"(512, 768, 3)",1152,11,104.72727272727273,24.406879182670277,0.7916709
kodim01.png,kodim01-hific-mi.png,"(512, 768, 3)",1152,22,52.36363636363637,26.400657562548236,0.8599828
kodim02.png,kodim02-hific-hi.png,"(512, 768, 3)",1152,22,52.36363636363637,33.06000013500701,0.9908812
kodim02.png,kodim02-hific-lo.png,"(512, 768, 3)",1152,6,192.0,29.58999503539554,0.9803825
kodim02.png,kodim02-hific-mi.png,"(512, 768, 3)",1152,14,82.28571428571429,31.520936205290585,0.9869368
kodim03.png,kodim03-hific-hi.png,"(512, 768, 3)",1152,17,67.76470588235294,35.28657846064196,0.97880024
kodim03.png,kodim03-hific-lo.png,"(512, 768, 3)",1152,6,192.0,31.379804194928546,0.9554708
kodim03.png,kodim03-hific-mi.png,"(512, 768, 3)",1152,11,104.72727272727273,33.49698397772644,0.9711738
kodim04.png,kodim04-hific-hi.png,"(768, 512, 3)",1152,22,52.36363636363637,33.11968803323637,0.9793595
kodim04.png,kodim04-hific-lo.png,"(768, 512, 3)",1152,7,164.57142857142858,29.487623511317047,0.9594626
kodim04.png,kodim04-hific-mi.png,"(768, 512, 3)",1152,14,82.28571428571429,31.313899409382408,0.9721845
kodim05.png,kodim05-hific-hi.png,"(512, 768, 3)",1152,39,29.53846153846154,29.28276806365291,0.9401811
kodim05.png,kodim05-hific-lo.png,"(512, 768, 3)",1152,14,82.28571428571429,24.369584416102445,0.8208296
kodim05.png,kodim05-hific-mi.png,"(512, 768, 3)",1152,25,46.08,26.72914447630431,0.89339477
kodim06.png,kodim06-hific-hi.png,"(512, 768, 3)",1152,28,41.142857142857146,30.071861584305427,0.93999386
kodim06.png,kodim06-hific-lo.png,"(512, 768, 3)",1152,9,128.0,25.41243219476259,0.8417958
kodim06.png,kodim06-hific-mi.png,"(512, 768, 3)",1152,17,67.76470588235294,27.503900662222023,0.89660823
kodim07.png,kodim07-hific-hi.png,"(512, 768, 3)",1152,21,54.857142857142854,34.740276512071965,0.98117477
kodim07.png,kodim07-hific-lo.png,"(512, 768, 3)",1152,8,144.0,30.36522796237157,0.9582491
kodim07.png,kodim07-hific-mi.png,"(512, 768, 3)",1152,15,76.8,32.83702832265567,0.9741884
kodim08.png,kodim08-hific-hi.png,"(512, 768, 3)",1152,38,30.31578947368421,28.198465811191113,0.9264413
kodim08.png,kodim08-hific-lo.png,"(512, 768, 3)",1152,13,88.61538461538461,23.678163719471804,0.81764483
kodim08.png,kodim08-hific-mi.png,"(512, 768, 3)",1152,25,46.08,25.694455523108665,0.8778038
kodim09.png,kodim09-hific-hi.png,"(768, 512, 3)",1152,17,67.76470588235294,34.46095948799401,0.9323075
kodim09.png,kodim09-hific-lo.png,"(768, 512, 3)",1152,6,192.0,30.376291020720885,0.88036054
kodim09.png,kodim09-hific-mi.png,"(768, 512, 3)",1152,11,104.72727272727273,32.62576895770583,0.9152831
kodim10.png,kodim10-hific-hi.png,"(768, 512, 3)",1152,20,57.6,34.453992791864664,0.94668704
kodim10.png,kodim10-hific-lo.png,"(768, 512, 3)",1152,7,164.57142857142858,30.462744405711145,0.8948281
kodim10.png,kodim10-hific-mi.png,"(768, 512, 3)",1152,14,82.28571428571429,32.73286364217035,0.9302672
kodim11.png,kodim11-hific-hi.png,"(512, 768, 3)",1152,27,42.666666666666664,31.068114413996316,0.93979317
kodim11.png,kodim11-hific-lo.png,"(512, 768, 3)",1152,8,144.0,26.783084741562348,0.8607732
kodim11.png,kodim11-hific-mi.png,"(512, 768, 3)",1152,17,67.76470588235294,28.834454938920086,0.9084947
kodim12.png,kodim12-hific-hi.png,"(512, 768, 3)",1152,19,60.63157894736842,34.64940545609335,0.9721504
kodim12.png,kodim12-hific-lo.png,"(512, 768, 3)",1152,6,192.0,30.72273540954756,0.93669575
kodim12.png,kodim12-hific-mi.png,"(512, 768, 3)",1152,12,96.0,32.84404841402777,0.95936596
kodim13.png,kodim13-hific-hi.png,"(512, 768, 3)",1152,41,28.097560975609756,25.41687057071556,0.8916003
kodim13.png,kodim13-hific-lo.png,"(512, 768, 3)",1152,13,88.61538461538461,21.13565656565634,0.72578835
kodim13.png,kodim13-hific-mi.png,"(512, 768, 3)",1152,25,46.08,22.92702949979472,0.8098481
kodim14.png,kodim14-hific-hi.png,"(512, 768, 3)",1152,33,34.90909090909091,30.074098366835692,0.9220148
kodim14.png,kodim14-hific-lo.png,"(512, 768, 3)",1152,11,104.72727272727273,25.692609385854368,0.80404717
kodim14.png,kodim14-hific-mi.png,"(512, 768, 3)",1152,21,54.857142857142854,27.844663152518745,0.8737505
kodim15.png,kodim15-hific-hi.png,"(512, 768, 3)",1152,19,60.63157894736842,32.652374779245356,0.9623996
kodim15.png,kodim15-hific-lo.png,"(512, 768, 3)",1152,6,192.0,29.305240622966178,0.924772
kodim15.png,kodim15-hific-mi.png,"(512, 768, 3)",1152,13,88.61538461538461,31.242894061336443,0.9485317
kodim16.png,kodim16-hific-hi.png,"(512, 768, 3)",1152,22,52.36363636363637,33.07462150794554,0.9293658
kodim16.png,kodim16-hific-lo.png,"(512, 768, 3)",1152,7,164.57142857142858,28.49121566722866,0.8257412
kodim16.png,kodim16-hific-mi.png,"(512, 768, 3)",1152,14,82.28571428571429,30.71842640093547,0.88616484
kodim17.png,kodim17-hific-hi.png,"(768, 512, 3)",1152,21,54.857142857142854,33.30602036894286,0.93675965
kodim17.png,kodim17-hific-lo.png,"(768, 512, 3)",1152,7,164.57142857142858,29.150995924177554,0.8753634
kodim17.png,kodim17-hific-mi.png,"(768, 512, 3)",1152,15,76.8,31.350265165659202,0.91703916
kodim18.png,kodim18-hific-hi.png,"(768, 512, 3)",1152,32,36.0,29.119018523925106,0.9160483
kodim18.png,kodim18-hific-lo.png,"(768, 512, 3)",1152,10,115.2,24.721820782247185,0.8211998
kodim18.png,kodim18-hific-mi.png,"(768, 512, 3)",1152,20,57.6,26.620574318273928,0.8750541
kodim19.png,kodim19-hific-hi.png,"(768, 512, 3)",1152,24,48.0,31.85506591065731,0.9439816
kodim19.png,kodim19-hific-lo.png,"(768, 512, 3)",1152,7,164.57142857142858,27.777014108212335,0.8910495
kodim19.png,kodim19-hific-mi.png,"(768, 512, 3)",1152,15,76.8,29.743815998319448,0.92215717
kodim20.png,kodim20-hific-hi.png,"(512, 768, 3)",1152,17,67.76470588235294,33.28917805049267,0.96160644
kodim20.png,kodim20-hific-lo.png,"(512, 768, 3)",1152,5,230.4,29.322632808074975,0.9230454
kodim20.png,kodim20-hific-mi.png,"(512, 768, 3)",1152,11,104.72727272727273,31.280291788216413,0.9452109
kodim21.png,kodim21-hific-hi.png,"(512, 768, 3)",1152,24,48.0,30.45087605166472,0.9417241
kodim21.png,kodim21-hific-lo.png,"(512, 768, 3)",1152,8,144.0,25.845076375383,0.8546079
kodim21.png,kodim21-hific-mi.png,"(512, 768, 3)",1152,15,76.8,27.91738987407388,0.90371376
kodim22.png,kodim22-hific-hi.png,"(512, 768, 3)",1152,27,42.666666666666664,31.192146467585037,0.9408992
kodim22.png,kodim22-hific-lo.png,"(512, 768, 3)",1152,8,144.0,27.16807412558374,0.8768328
kodim22.png,kodim22-hific-mi.png,"(512, 768, 3)",1152,17,67.76470588235294,29.216588154925105,0.9165318
kodim23.png,kodim23-hific-hi.png,"(512, 768, 3)",1152,14,82.28571428571429,35.6853553158763,0.9811472
kodim23.png,kodim23-hific-lo.png,"(512, 768, 3)",1152,5,230.4,31.496976459934626,0.96456146
kodim23.png,kodim23-hific-mi.png,"(512, 768, 3)",1152,10,115.2,33.975259949125736,0.97676533
kodim24.png,kodim24-hific-hi.png,"(512, 768, 3)",1152,32,36.0,28.667909779504637,0.92556626
kodim24.png,kodim24-hific-lo.png,"(512, 768, 3)",1152,11,104.72727272727273,24.411021966982425,0.81715435
kodim24.png,kodim24-hific-mi.png,"(512, 768, 3)",1152,21,54.857142857142854,26.320466084368334,0.8810804
