reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,6,192.0,24.25473370761555,0.7691801
kodim01.png,kodim01-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,12,96.0,26.471541766763412,0.8492922
kodim01.png,kodim01-mbt2018-mean-mse-3.png,"(512, 768, 3)",1152,23,50.08695652173913,28.71266194716345,0.9049774
kodim01.png,kodim01-mbt2018-mean-mse-4.png,"(512, 768, 3)",1152,37,31.135135135135137,30.890802790296835,0.94253033
kodim01.png,kodim01-mbt2018-mean-mse-5.png,"(512, 768, 3)",1152,54,21.333333333333332,33.32492907103094,0.96717876
kodim01.png,kodim01-mbt2018-mean-mse-6.png,"(512, 768, 3)",1152,75,15.36,35.91405666100608,0.98211193
kodim01.png,kodim01-mbt2018-mean-mse-7.png,"(512, 768, 3)",1152,98,11.755102040816327,38.41804306812088,0.9900916
kodim01.png,kodim01-mbt2018-mean-mse-8.png,"(512, 768, 3)",1152,124,9.290322580645162,40.796633290719214,0.994284
kodim02.png,kodim02-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,2,576.0,28.483968219191,0.97348225
kodim02.png,kodim02-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,4,288.0,30.202787509864436,0.9829606
kodim02.png,kodim02-mbt2018-mean-mse-3.png,"(512, 768, 3)",1152,7,164.57142857142858,31.653410699254923,0.9876393
kodim02.png,kodim02-mbt2018-mean-mse-4.png,"(512, 768, 3)",1152,12,96.0,33.02417689628537,0.9912116
kodim02.png,kodim02-mbt2018-mean-mse-5.png,"(512, 768, 3)",1152,20,57.6,34.70685882547252,0.9940135
kodim02.png,kodim02-mbt2018-mean-mse-6.png,"(512, 768, 3)",1152,32,36.0,36.52945436956364,0.99603915
kodim02.png,kodim02-mbt2018-mean-mse-7.png,"(512, 768, 3)",1152,48,24.0,38.63365529457974,0.99746776
kodim02.png,kodim02-mbt2018-mean-mse-8.png,"(512, 768, 3)",1152,71,16.225352112676056,40.847912724578165,0.99843884
kodim03.png,kodim03-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,2,576.0,29.853976306683965,0.9385816
kodim03.png,kodim03-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,4,288.0,31.70770050725055,0.9550453
kodim03.png,kodim03-mbt2018-mean-mse-3.png,"(512, 768, 3)",1152,7,164.57142857142858,33.670898903252585,0.9691022
kodim03.png,kodim03-mbt2018-mean-mse-4.png,"(512, 768, 3)",1152,10,115.2,35.44670112456124,0.9776145
kodim03.png,kodim03-mbt2018-mean-mse-5.png,"(512, 768, 3)",1152,16,72.0,37.26615512060365,0.9833299
kodim03.png,kodim03-mbt2018-mean-mse-6.png,"(512, 768, 3)",1152,23,50.08695652173913,39.16693312871973,0.98779243
kodim03.png,kodim03-mbt2018-mean-mse-7.png,"(512, 768, 3)",1152,32,36.0,41.00129295437033,0.9908571
kodim03.png,kodim03-mbt2018-mean-mse-8.png,"(512, 768, 3)",1152,44,26.181818181818183,42.66198020448342,0.9929435
kodim04.png,kodim04-mbt2018-mean-mse-1.png,"(768, 512, 3)",1152,3,384.0,28.632400020981848,0.95204896
kodim04.png,kodim04-mbt2018-mean-mse-2.png,"(768, 512, 3)",1152,5,230.4,30.358302136894228,0.96468705
kodim04.png,kodim04-mbt2018-mean-mse-3.png,"(768, 512, 3)",1152,8,144.0,31.925170631694506,0.9730887
kodim04.png,kodim04-mbt2018-mean-mse-4.png,"(768, 512, 3)",1152,14,82.28571428571429,33.44560807048778,0.9793907
kodim04.png,kodim04-mbt2018-mean-mse-5.png,"(768, 512, 3)",1152,21,54.857142857142854,35.18027352381179,0.98485017
kodim04.png,kodim04-mbt2018-mean-mse-6.png,"(768, 512, 3)",1152,32,36.0,37.04360817815655,0.98914474
kodim04.png,kodim04-mbt2018-mean-mse-7.png,"(768, 512, 3)",1152,47,24.51063829787234,39.13596020458114,0.9925997
kodim04.png,kodim04-mbt2018-mean-mse-8.png,"(768, 512, 3)",1152,67,17.19402985074627,41.17662523867435,0.99501204
kodim05.png,kodim05-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,8,144.0,23.472042286443596,0.7695925
kodim05.png,kodim05-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,15,76.8,26.213036036328017,0.8674469
kodim05.png,kodim05-mbt2018-mean-mse-3.png,"(512, 768, 3)",1152,26,44.30769230769231,29.187027171895686,0.92233974
kodim05.png,kodim05-mbt2018-mean-mse-4.png,"(512, 768, 3)",1152,38,30.31578947368421,31.285948511255604,0.95167667
kodim05.png,kodim05-mbt2018-mean-mse-5.png,"(512, 768, 3)",1152,53,21.735849056603772,33.55257278149948,0.96968746
kodim05.png,kodim05-mbt2018-mean-mse-6.png,"(512, 768, 3)",1152,71,16.225352112676056,35.883278313276364,0.9819287
kodim05.png,kodim05-mbt2018-mean-mse-7.png,"(512, 768, 3)",1152,94,12.25531914893617,38.170849579113636,0.9892595
kodim05.png,kodim05-mbt2018-mean-mse-8.png,"(512, 768, 3)",1152,120,9.6,40.29124813854659,0.99343246
kodim06.png,kodim06-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,4,288.0,24.939757953735125,0.8067825
kodim06.png,kodim06-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,8,144.0,27.13032519154605,0.87247854
kodim06.png,kodim06-mbt2018-mean-mse-3.png,"(512, 768, 3)",1152,16,72.0,29.955979805892113,0.9210734
kodim06.png,kodim06-mbt2018-mean-mse-4.png,"(512, 768, 3)",1152,26,44.30769230769231,32.12239257341057,0.94827724
kodim06.png,kodim06-mbt2018-mean-mse-5.png,"(512, 768, 3)",1152,37,31.135135135135137,34.32005903977026,0.9676274
kodim06.png,kodim06-mbt2018-mean-mse-6.png,"(512, 768, 3)",1152,53,21.735849056603772,36.656304565480774,0.9803273
kodim06.png,kodim06-mbt2018-mean-mse-7.png,"(512, 768, 3)",1152,71,16.225352112676056,38.93730035940892,0.988554
kodim06.png,kodim06-mbt2018-mean-mse-8.png,"(512, 768, 3)",1152,93,12.387096774193548,41.14607154152829,0.9933352
kodim07.png,kodim07-mbt2018-mean-mse-1.png,"(512, 768, 3)",1152,4,288.0,28.77296632986738,0.93287826
kodim07.png,kodim07-mbt2018-mean-mse-2.png,"(512, 768, 3)",1152,7,164.57142857142858,30.901320047272456,0.95561516
