reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
kodim01.png,kodim01-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,6,192.0,23.017298365163654,0.74849206
kodim01.png,kodim01-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,8,144.0,23.44992409930578,0.78433305
kodim01.png,kodim01-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,19,60.63157894736842,26.26908653247492,0.8764298
kodim01.png,kodim01-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,25,46.08,26.164039565263852,0.88339275
kodim01.png,kodim01-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,46,25.043478260869566,29.341768239397574,0.945373
kodim01.png,kodim01-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,65,17.723076923076924,31.124206640631623,0.96487683
kodim01.png,kodim01-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,89,12.9438202247191,32.79300107265912,0.97795486
kodim01.png,kodim01-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,117,9.846153846153847,34.163979181379624,0.9848315
kodim02.png,kodim02-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,3,384.0,27.084616815041123,0.96648747
kodim02.png,kodim02-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,6,192.0,27.887718492145652,0.9709588
kodim02.png,kodim02-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,12,96.0,29.188629000483598,0.9772975
kodim02.png,kodim02-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,19,60.63157894736842,29.90013692456481,0.98029494
kodim02.png,kodim02-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,34,33.88235294117647,31.617180851236462,0.98661834
kodim02.png,kodim02-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,52,22.153846153846153,32.701971003475215,0.9893892
kodim02.png,kodim02-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,76,15.157894736842104,33.765797507198045,0.992627
kodim02.png,kodim02-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,106,10.867924528301886,34.881445809706804,0.99292976
kodim03.png,kodim03-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,2,576.0,28.56588217144917,0.930913
kodim03.png,kodim03-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,4,288.0,29.70115799344743,0.94534135
kodim03.png,kodim03-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,8,144.0,31.331673078026803,0.96180046
kodim03.png,kodim03-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,12,96.0,31.66202777308161,0.9676127
kodim03.png,kodim03-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,20,57.6,32.79671684191027,0.9761152
kodim03.png,kodim03-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,30,38.4,34.13887804836014,0.982637
kodim03.png,kodim03-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,45,25.6,34.99352164869153,0.98599404
kodim03.png,kodim03-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,68,16.941176470588236,35.63800109453172,0.98820907
kodim04.png,kodim04-mbt2018-mean-msssim-1.png,"(768, 512, 3)",1152,3,384.0,26.807145674065012,0.93464565
kodim04.png,kodim04-mbt2018-mean-msssim-2.png,"(768, 512, 3)",1152,6,192.0,27.676364447521916,0.9513802
kodim04.png,kodim04-mbt2018-mean-msssim-3.png,"(768, 512, 3)",1152,12,96.0,29.175892420549175,0.9646048
kodim04.png,kodim04-mbt2018-mean-msssim-4.png,"(768, 512, 3)",1152,17,67.76470588235294,29.821580524321792,0.9710048
kodim04.png,kodim04-mbt2018-mean-msssim-5.png,"(768, 512, 3)",1152,31,37.16129032258065,31.408905833254067,0.9795953
kodim04.png,kodim04-mbt2018-mean-msssim-6.png,"(768, 512, 3)",1152,47,24.51063829787234,32.746393196289894,0.9852024
kodim04.png,kodim04-mbt2018-mean-msssim-7.png,"(768, 512, 3)",1152,69,16.695652173913043,34.60869164351524,0.99003285
kodim04.png,kodim04-mbt2018-mean-msssim-8.png,"(768, 512, 3)",1152,97,11.876288659793815,35.53961190519705,0.99265945
kodim05.png,kodim05-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,6,192.0,22.273397776405595,0.7424011
kodim05.png,kodim05-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,10,115.2,23.16253461575076,0.7899153
kodim05.png,kodim05-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,19,60.63157894736842,26.12238868318204,0.8920604
kodim05.png,kodim05-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,26,44.30769230769231,26.87655836262705,0.9123704
kodim05.png,kodim05-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,42,27.428571428571427,29.000603493315168,0.9507935
kodim05.png,kodim05-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,58,19.862068965517242,30.938001248045026,0.96768314
kodim05.png,kodim05-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,79,14.582278481012658,32.6568170655518,0.9793944
kodim05.png,kodim05-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,105,10.971428571428572,33.9811953392134,0.9855499
kodim06.png,kodim06-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,4,288.0,23.988459695618573,0.80023354
kodim06.png,kodim06-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,6,192.0,24.658898734368286,0.8263215
kodim06.png,kodim06-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,15,76.8,27.448542870210495,0.9081519
kodim06.png,kodim06-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,20,57.6,27.602016178706442,0.91063404
kodim06.png,kodim06-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,37,31.135135135135137,29.597121205283578,0.95761013
kodim06.png,kodim06-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,53,21.735849056603772,32.07489009335702,0.9717973
kodim06.png,kodim06-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,74,15.567567567567568,33.38740762281362,0.9803596
kodim06.png,kodim06-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,102,11.294117647058824,34.72232629553759,0.985217
kodim07.png,kodim07-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,4,288.0,26.862449219050607,0.9127173
kodim07.png,kodim07-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,6,192.0,28.10171841463638,0.93835515
kodim07.png,kodim07-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,10,115.2,29.589809114328073,0.95665675
kodim07.png,kodim07-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,14,82.28571428571429,30.55114962182476,0.96683776
kodim07.png,kodim07-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,21,54.857142857142854,31.605664692862057,0.9746774
kodim07.png,kodim07-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,30,38.4,32.717532754063896,0.9808623
kodim07.png,kodim07-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,44,26.181818181818183,34.96014357826301,0.98722416
kodim07.png,kodim07-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,67,17.19402985074627,35.93780456970566,0.9900625
kodim08.png,kodim08-mbt2018-mean-msssim-1.png,"(512, 768, 3)",1152,6,192.0,20.965383370903727,0.7184747
kodim08.png,kodim08-mbt2018-mean-msssim-2.png,"(512, 768, 3)",1152,9,128.0,21.339139830277958,0.74617565
kodim08.png,kodim08-mbt2018-mean-msssim-3.png,"(512, 768, 3)",1152,18,64.0,24.341054238783606,0.8667214
kodim08.png,kodim08-mbt2018-mean-msssim-4.png,"(512, 768, 3)",1152,24,48.0,24.555879332410363,0.87478274
kodim08.png,kodim08-mbt2018-mean-msssim-5.png,"(512, 768, 3)",1152,42,27.428571428571427,27.435595237213203,0.94221306
kodim08.png,kodim08-mbt2018-mean-msssim-6.png,"(512, 768, 3)",1152,61,18.885245901639344,29.197513595623267,0.96293515
kodim08.png,kodim08-mbt2018-mean-msssim-7.png,"(512, 768, 3)",1152,85,13.552941176470588,31.4453816637857,0.9773209
kodim08.png,kodim08-mbt2018-mean-msssim-8.png,"(512, 768, 3)",1152,115,10.017391304347827,33.374670279865946,0.9850913
kodim09.png,kodim09-mbt2018-mean-msssim-1.png,"(768, 512, 3)",1152,3,384.0,27.24054730147094,0.82842755
